,F-value,p-value
"Tuberculosis death rate (per 100,000 people), including HIV",7.632093050718725,0.00737
Tuberculosis treatment success rate (% of new cases),13.516536073143897,0.00047
"Unemployment, female (% of female labor force)",7.433251153583359,0.00814
"Unemployment, female (% of female labor force) (modeled ILO estimate)",7.433251153583359,0.00814
"Unemployment, male (% of male labor force)",10.215412727726669,0.00211
"Unemployment, male (% of male labor force) (modeled ILO estimate)",10.215412727726669,0.00211
"Unemployment, total (% of total labor force)",8.56886904001523,0.00465
Urban population (% of total),43.19020007728213,0.0
Urban population growth (annual %),8.103696668620824,0.00584
Years,71.28868926681513,0.0
